Date,Predicted Sales,Lower Bound,Upper Bound
2016-08-07,1342.755697146837,-1479.8061541680743,3915.693731194641
2016-08-08,1223.6313664085644,-1706.3136984860257,3884.0320115666423
2016-08-09,1569.0694324909089,-1175.9707323432501,4404.904440706443
2016-08-10,1125.1601720800063,-1487.8188785279508,3890.758592838902
2016-08-11,551.4011414209058,-2025.507819997024,3299.3968430007267
2016-08-13,1627.363031165278,-1255.2324068395988,4421.931047775914
2016-08-15,1294.274201863461,-1450.4237441185978,3914.547149460588
2016-08-16,1654.3335879959134,-1139.4184772288868,4270.187751862891
2016-08-17,1227.516285570314,-1630.3070750147458,3982.272410125683
2016-08-21,1593.6673364642375,-1162.9408353763447,4345.420414241235
2016-08-22,1513.6540458364059,-1131.833835004808,4258.379124114837
2016-08-23,1901.6772234854575,-815.0010985763454,4759.5838214105825
2016-08-24,1503.4096875094776,-1100.0326856609952,4153.633249099751
2016-08-25,977.8258539213376,-1838.21257773725,3936.9812964252746
2016-08-27,2155.1593953156444,-655.6443993323044,4835.741185148123
2016-08-28,1980.6570010371859,-731.5668195320497,4612.4388003433905
2016-08-29,1925.0105166464627,-829.9201159845899,4664.609916119136
2016-08-31,1955.6785124639916,-679.6284669246576,4726.0851751129585
2016-09-01,1445.639675021027,-1201.5261989616529,4348.631947410655
2016-09-03,2642.0243848185555,-3.148257300717298,5209.774177432324
2016-09-04,2470.296126303497,-13.616849042548672,5423.135413659341
2016-09-05,2412.540144135736,-288.0121303107014,5126.337788304903
2016-09-06,2815.303743860428,65.06694457009893,5391.037885841231
2016-09-07,2423.6241497777405,-402.83209678217133,4673.641331657887
2016-09-08,1895.9506756992873,-872.3885684003434,4618.986597310133
2016-09-10,3041.595256471832,405.23224433824277,5809.684359241692
2016-09-11,2837.09398591358,40.02618833478534,5489.448433626498
2016-09-12,2741.984034566366,80.78745238243843,5398.968868886411
2016-09-13,3103.1722466900574,417.4144379599213,5909.537686480402
2016-09-14,2666.1239715556385,-206.54389747495284,5439.253136186502
2016-09-15,2089.7785087495777,-683.7593486611817,4577.588553941964
2016-09-16,2701.83269013693,10.759155042511095,5455.358409801276
